
2026-09-03T13:34:05.396Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T13:34:05.398Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T13:34:05.399Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T13:44:33.155Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
2026-09-03T13:44:35.163Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
2026-09-03T13:44:37.172Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
2026-09-03T13:44:39.183Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
2026-09-03T13:44:41.192Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
2026-09-03T13:44:41.314Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:44.325Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:47.335Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:50.346Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:53.357Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:56.367Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:44:59.378Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:45:02.387Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:45:05.397Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:45:08.406Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:45:11.417Z [INFO ] gateway: GET /v1/diagnostics from 127.0.0.1 -> 200
2026-09-03T13:45:13.714Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:16.726Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:19.732Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:22.739Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:25.746Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:28.754Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:31.762Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:34.770Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:37.777Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:40.785Z [INFO ] gateway: GET /v1/devices from 127.0.0.1 -> 200
2026-09-03T13:45:43.338Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:45.374Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:47.413Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:49.443Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:51.473Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:53.509Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:55.552Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:57.582Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:45:59.611Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:01.641Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:03.673Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:05.709Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:07.741Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:09.776Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:11.803Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:13.831Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:15.868Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:17.899Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:19.930Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:21.960Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:23.993Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:26.031Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:28.060Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
