

DevTools listening on ws://127.0.0.1:9222/devtools/browser/843c0f49-ea5b-4a33-938c-b1387bfafbfa
2026-09-03T17:23:20.012Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T17:23:20.014Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T17:23:20.015Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T17:28:29.123Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:31.152Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:33.196Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:35.224Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:37.252Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:39.282Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:41.311Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:43.350Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:45.379Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:47.409Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:49.437Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:51.467Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:53.495Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:55.523Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:57.550Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:59.578Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:01.606Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:03.641Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:05.670Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:07.700Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:09.729Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:11.760Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:13.796Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:15.826Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:17.856Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:19.885Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:21.901Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:23.927Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:25.958Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:27.987Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:30.016Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:32.044Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:34.078Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:36.106Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:38.136Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:40.165Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:42.196Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:44.242Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:46.283Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:48.312Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:50.343Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
